URL,File Path,Status Code
https://github.com/Cumulocity-IoT/cumulocity-examples/snmp,..\content\change-logs\device-management\SNMP-removed-from-docs.md,404
https://download.cumulocity.com/,..\content\additional-resources\more-documentation.md,Error
https://download.cumulocity.com/,..\content\about_documentation\scope.md,Error
https://portal.azure.com/,..\content\datahub\integrating-datahub-with-other-products-bundle\integration-powerbi.md,403
https://github.com/eclipse/paho.mqtt.python/issues/354,..\content\device-integration\mqtt-examples-bundle\hello-mqtt-python.md,404
https://download.cumulocity.com/,..\content\edge\edge-databroker-bundle\databroker-edge.md,429
https://download.cumulocity.com/,..\content\edge\edge-installation-bundle\prerequisites.md,429
https://download.cumulocity.com/,..\content\edge\edge-databroker-bundle\databroker-edge.md,429
https://download.cumulocity.com/,..\content\edge\edge-update-bundle\updating-edge-gui.md,429
https://www.mathworks.com/help/predmaint/ug/remaining-useful-life-estimation-using-convolutional-neural-network.html,..\content\machine-learning\AI-ML-integration-bundle\step1-create-ai-ml-model.md,403
https://download.cumulocity.com/,..\content\glossary\y.md,429
http://www.oracle.com/technetwork/java/javase/downloads/index.html,..\content\microservice-sdk\java-bundle\introduction.md,403
https://www.oracle.com/technetwork/java/javase/downloads/index.html,..\content\microservice-sdk\java-bundle\ip-tracker-microservice.md,403
https://openmobilealliance.org/iot/lightweight-m2m-lwm2m,..\content\protocol-integration\lwm2m-bundle\introduction.md,404
https://en.wikipedia.org/wiki/Sampling_(signal_processing,..\content\streaming-analytics\analytics-builder-bundle\details-of-values-and-blocks.md,404
https://en.wikipedia.org/wiki/Quantization_(signal_processing,..\content\streaming-analytics\analytics-builder-bundle\details-of-values-and-blocks.md,404
https://cumulocity.com/docs/<https://en.wikipedia.org/wiki/Glob_(programming,..\content\web\upgrade-bundle\c8y-cli.md,404
https://code.visualstudio.com/,..\content\web\upgrade-bundle\updating-web-sdk-version.md,500
